imiina,iaai,miina,1,
omiina,iaai,miina,2,
ominâ,iaai,minâ,1,
miny jut !,iaai,miny,1,
oomitaa,iaai,mita,1,
uny jut ûxaaû !,iaai,uny,1,
uny jut tang ame uhni !,iaai,uny,2,
unyik,iaai,unyin,1,
unyâm,iaai,unyin,2,
unyi Paulo,iaai,unyin,3,
iee hnyaar aang unyâm ?,iaai,unyin,4,
iuök,iaai,uök,1,
bwiny uoû,iaai,uoû,1,
